2024-08-13 22:12:05.809 [restartedMain] [logStarted] INFO  com.example.wangjian.syslog1.SysLog1Application - tid:- uid:- Started SysLog1Application in 1.46 seconds (JVM running for 1.795)
2024-08-13 22:12:19.486 [http-nio-8331-exec-1] [log] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/log] - tid:- uid:- Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-08-13 22:12:19.486 [http-nio-8331-exec-1] [initServletBean] INFO  org.springframework.web.servlet.DispatcherServlet - tid:- uid:- Initializing Servlet 'dispatcherServlet'
2024-08-13 22:12:19.490 [http-nio-8331-exec-1] [initServletBean] INFO  org.springframework.web.servlet.DispatcherServlet - tid:- uid:- Completed initialization in 4 ms
2024-08-13 22:14:55.663 [Thread-8] [shutdown] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - tid:- uid:- Shutting down ExecutorService 'taskExecutor'
2024-08-13 22:15:06.355 [restartedMain] [logStarting] INFO  com.example.wangjian.syslog1.SysLog1Application - tid:- uid:- Starting SysLog1Application on SK-20231010BXRV with PID 276 (D:\works\sys-log1-807\sys-log1\target\classes started by Administrator in D:\works\sys-log1-807\sys-log1)
2024-08-13 22:15:06.357 [restartedMain] [logStartupProfileInfo] INFO  com.example.wangjian.syslog1.SysLog1Application - tid:- uid:- The following profiles are active: tst
2024-08-13 22:15:06.379 [restartedMain] [logTo] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - tid:- uid:- Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-08-13 22:15:06.379 [restartedMain] [logTo] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - tid:- uid:- For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-08-13 22:15:06.981 [restartedMain] [initialize] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - tid:- uid:- Tomcat initialized with port(s): 8331 (http)
2024-08-13 22:15:06.986 [restartedMain] [log] INFO  org.apache.coyote.http11.Http11NioProtocol - tid:- uid:- Initializing ProtocolHandler ["http-nio-8331"]
2024-08-13 22:15:06.986 [restartedMain] [log] INFO  org.apache.catalina.core.StandardService - tid:- uid:- Starting service [Tomcat]
2024-08-13 22:15:06.986 [restartedMain] [log] INFO  org.apache.catalina.core.StandardEngine - tid:- uid:- Starting Servlet engine: [Apache Tomcat/9.0.33]
2024-08-13 22:15:07.113 [restartedMain] [log] INFO  org.apache.jasper.servlet.TldScanner - tid:- uid:- At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2024-08-13 22:15:07.116 [restartedMain] [log] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/log] - tid:- uid:- Initializing Spring embedded WebApplicationContext
2024-08-13 22:15:07.116 [restartedMain] [prepareWebApplicationContext] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - tid:- uid:- Root WebApplicationContext: initialization completed in 737 ms
2024-08-13 22:15:07.370 [restartedMain] [initialize] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - tid:- uid:- Initializing ExecutorService 'taskExecutor'
2024-08-13 22:15:07.469 [restartedMain] [<init>] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - tid:- uid:- Adding welcome page template: index
2024-08-13 22:15:07.547 [restartedMain] [startServer] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - tid:- uid:- LiveReload server is running on port 35729
2024-08-13 22:15:07.554 [restartedMain] [log] INFO  org.apache.coyote.http11.Http11NioProtocol - tid:- uid:- Starting ProtocolHandler ["http-nio-8331"]
2024-08-13 22:15:07.565 [restartedMain] [start] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - tid:- uid:- Tomcat started on port(s): 8331 (http) with context path '/log'
2024-08-13 22:15:07.570 [restartedMain] [logStarted] INFO  com.example.wangjian.syslog1.SysLog1Application - tid:- uid:- Started SysLog1Application in 1.437 seconds (JVM running for 1.778)
2024-08-13 22:15:10.335 [http-nio-8331-exec-1] [log] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/log] - tid:- uid:- Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-08-13 22:15:10.335 [http-nio-8331-exec-1] [initServletBean] INFO  org.springframework.web.servlet.DispatcherServlet - tid:- uid:- Initializing Servlet 'dispatcherServlet'
2024-08-13 22:15:10.339 [http-nio-8331-exec-1] [initServletBean] INFO  org.springframework.web.servlet.DispatcherServlet - tid:- uid:- Completed initialization in 4 ms
